penguin,bird but cant fly
polar bear,white bear
butterfly,beauty insects
buffalo,work with farmer
bulldog,woof woof
caterpillar,before some insects
cheetah,super fast
dolphin,fish but not fish
donkey,lazy :>
flamingo,ping and cant fly- i guess
gorilla,kind of banana lovers
insect,small maybe beauty or scary 
jellyfish,dont touch it
kangaroo,leave their kids in the pocket
koala,bruh white gray bear
shrimp,cook it and turn red
salmon,Japan make this food good
ladybug,red wings with black dots
mandrill,kind of monkey
mamba,snake
mosquito,blood and blood
nautilus,LOL
octopus,hentai have this :>
roadrunner,kind of birds
roundworm,kind of worm
Tyrannosaurus rex,scary but die long time ago
Xiaosaurus,die long time ago and scary too
