Accountant,ke toan
Actuary,chuyen vien thong ke
Architect,building ..
Artist,make art
Astronaut,something about galaxy
Astronomer,something about galaxy
Baker,make sweet and things from flour
Barber,how to get stupid head bruh
Barrister,kind of lawyer
Beautician:beautiful ~~
Bodyguard:protect me
Builder,someone about building
Businessman,Money Money
Butcher,meat and meat
Butler,I'm batman, I have robin and ...
Carpenter,Wood :>
Cashier,thu ngân
Chef,Leader of cooks
Composer,Songs maker
Dancer,I'm pro in dancing
Detective,Conan
Diplomatist,ngoai giao :>
Economist,analys economic
Editor,update video
Electrician,anh tho ... may man :>
Fashion designer,making clothes
Film director,anh em nha Russol
Fishmonger,kind of seller
Florist,grow roses,daisy,..
Janitor,toilet,throwing trash,..
Journalist,hltv
Judge,the living tributal
Lifeguard,protect life
Magician,ao that day
Manager,fak u listen to me and let me control u under the boss
Midwife,woman help born
Model,hot people with clothes
Musician,just music
Nurse,work in hospital
Painter,just make color
Personal assistant,boss's tuesday =)))
Pharmacist,dont trust him cause drugs is duty :>
Photographer,look here and 3 2 1 ><
Pilot,call me if you're older than me
Plumber,kind of porn stories
Poet,navi's fans
Programmer,its u bitch
Psychologist,i'm a witch and i know what u thinking
Rapper,stop playing this and go cast ... for that ss2
Receptionist,the one u see first when go to hotel
Reporter,fak that chinese wizard spin bot
Salesman,nhân viên bán hàng
Secretary,thu ky
Security officer,SECURITYYYYY!
Stockbroker,STOCK :>
Tattooist,De Choat
Interpreter,google dich
Welder,who Korea =)))
